"""state_val"",""rpt_year"",""revenue"",""income_tax"",""market_cap"",""median_hh_income"""
"""IL"",""2017"",578779000000,17721000000,1111923201800,64609"
"""IL"",""2018"",635297000000,12874000000,1038703740000,70145"
"""IL"",""2019"",654850000000,13577000000,1180026680000,65886"
"""IL"",""2020"",193526000000,1843000000,153344110000,NULL"
"""IN"",""2015"",135166432000,3172072000,236968940940,51983"
"""IN"",""2016"",142071511000,3502411000,232852098560,56094"
"""IN"",""2017"",152329847000,2882643000,275030094020,58873"
"""IN"",""2018"",157015647000,2387828000,302441892300,59892"
"""IN"",""2019"",169943462000,2308686000,329530963130,56303"
"""KY"",""2015"",60729000000,1480000000,50224426700,42387"
"""KY"",""2016"",60735000000,1265000000,56140530000,45369"
"""KY"",""2017"",59645000000,2506000000,65189770000,51348"
"""KY"",""2018"",62567000000,688000000,69775920000,54555"
"""KY"",""2019"",71036000000,842000000,81008690000,50589"
"""LA"",""2015"",31402000000,-125000000,29754560000,45922"
"""LA"",""2016"",30605000000,-330000000,30502730000,42196"
"""LA"",""2017"",31409000000,-228000000,30668610000,43903"
"""LA"",""2018"",37510000000,-808000000,38144010000,49973"
"""LA"",""2019"",36371000000,389000000,46456090000,49469"
"""MA"",""2015"",188999000000,9425000000,682181269400,67861"
"""MA"",""2016"",240185939000,4102734000,747902080700,72266"
"""MA"",""2017"",251932129000,5939147000,730744636380,73227"
"""MA"",""2018"",247166817000,2999993000,675321192494,86345"
"""MA"",""2019"",255859641000,1046649000,892035248166,81215"
"""MA"",""2020"",55292883000,1246816000,195348082560,NULL"
"""MD"",""2015"",90321112000,3818000000,192505354500,73594"
"""MD"",""2016"",101965291000,3605000000,213997953390,73760"
"""MD"",""2017"",110208353000,6462000000,237290899730,81084"
"""MD"",""2018"",123117544000,2479000000,224185038080,86223"
"""MD"",""2019"",130919127000,2504000000,300362687180,84805"
"""ME"",""2015"",1602000000,81000000,6854480000,50756"
"""ME"",""2016"",1775000000,100000000,10671570000,50856"
"""ME"",""2017"",1969000000,118000000,14074200000,51664"
"""ME"",""2018"",2213000000,81000000,16369760000,58663"
"""ME"",""2019"",2407000000,94000000,22979440000,57918"
"""MI"",""2015"",380441000000,2835000000,235050890000,54203"
"""MI"",""2016"",430240000000,6630000000,244825760000,57091"
"""MI"",""2017"",443808000000,17747000000,272962380000,57700"
"""MI"",""2018"",446867000000,1767000000,225932580000,60449"
"""MI"",""2019"",424926000000,2748000000,320522040000,57144"
"""MN"",""2015"",280111000000,11665000000,413929120000,68730"
"""MN"",""2016"",447697000000,15123000000,605230630000,70218"
"""MN"",""2017"",466098000000,12848000000,723563255000,71920"
"""MN"",""2018"",505976000000,10339000000,676001230000,71817"
"""MN"",""2019"",529484000000,10013000000,811140480000,71306"
"""MN"",""2020"",148985000000,2060000000,179930120000,NULL"
"""MO"",""2015"",47589000000,1782000000,79833820000,59196"
"""MO"",""2016"",82107000000,2975000000,124496120000,55016"
"""MO"",""2017"",91940000000,2335000000,148145960000,56885"
"""MO"",""2018"",107208000000,2022000000,147183060000,61726"
"""MO"",""2019"",123938000000,2129000000,183869570000,55461"
"""MO"",""2020"",18487000000,429000000,60689990000,NULL"
"""NC"",""2015"",182124000000,11331000000,440231169800,50797"
"""NC"",""2016"",247653000000,14907000000,613195650000,53764"
"""NC"",""2017"",272052000000,21070000000,758500130800,50343"
"""NC"",""2018"",296394000000,12694000000,645132874100,53369"
"""NC"",""2019"",299999000000,10622000000,827387940000,54602"
"""NC"",""2020"",75387000000,1403000000,146521150000,NULL"
"""NE"",""2015"",21813000000,2884000000,67955800000,60474"
"""NE"",""2016"",19941000000,2533000000,86572800000,59374"
"""NE"",""2017"",21240000000,-3080000000,107548200000,59619"
"""NE"",""2018"",22832000000,1775000000,104225420000,67575"
"""NE"",""2019"",21708000000,1828000000,127637740000,61439"
"""NJ"",""2015"",224001000000,10991000000,606154150000,68357"
"""NJ"",""2016"",258738000000,9285000000,775836780000,68468"
"""NJ"",""2017"",265193000000,22422000000,881108620000,72997"
"""NJ"",""2018"",284217000000,9530000000,903580080000,74176"
"""NJ"",""2019"",296124000000,4276000000,1055689610000,82545"
"""NJ"",""2020"",43492000000,1041000000,177149980000,NULL"
"""NV"",""2015"",24954000000,237000000,54378660000,52008"
"""NV"",""2016"",25331000000,269000000,67804560000,55431"
"""NV"",""2017"",29595000000,-1665000000,91733660000,56550"
"""NV"",""2018"",32210000000,-72000000,64837670000,61864"
"""NV"",""2019"",33250000000,1277000000,85655490000,60365"
"""NY"",""2015"",850452597000,54048932000,2349834584928,58005"
"""NY"",""2016"",927964886000,58660455000,2696379552266,61437"
"""NY"",""2017"",966866702000,79881144000,3030624848965,62447"
"""NY"",""2018"",1049324258000,40522821000,2668004382086,67274"
"""NY"",""2019"",1106516731000,44859274000,3343257579590,68486"
"""NY"",""2020"",102474000000,887000000,306360190000,NULL"
