Alabama,53363
Alaska,76570
Arizona,65450
Arkansas,52370
California,74305
Colorado,75020
Connecticut,79639
Delaware,69378
District of Columbia,88396
Florida,56456
Georgia,57979
Hawaii,82108
Idaho,62611
Illinois,71539
Indiana,62987
Iowa,67403
Kansas,65864
Kentucky,54337
Louisiana,49340
Maine,60626
Maryland,89658
Massachusetts,85044
Michigan,61497
Minnesota,75841
Mississippi,44494
Missouri,60799
Montana,59597
Nebraska,68004
Nevada,64808
New Hampshire,82866
New Jersey,79182
New Mexico,49943
New York,68178
North Carolina,55723
North Dakota,66830
Ohio,63569
Oklahoma,56309
Oregon,70004
Pennsylvania,66730
Rhode Island,67251
South Carolina,59130
South Dakota,61384
Tennessee,57128
Texas,63661
Utah,78591
Vermont,70685
Virginia,77904
Washington,79412
West Virginia,51390
Wisconsin,65775
Wyoming,63633
